https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001214-0e9710e973/200/%C5%90s%C3%B6k_Hajnala%20Alfa42.jpg,https://www.osokhajnala.hu/alfa-k2/,https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001214-0e9710e973/%C5%90s%C3%B6k_Hajnala%20Alfa42.jpg,alfa,Vöröskövi Varázslótanoncs,Fehér,2,Zsoldos,Ember (Nő),Mágus,Alfa 061\197,Lázár Aurél,Normál,4,10,Azonos nevű képességből egymás után 2 használható fel.,,
https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001213-8b1098b10b/200/%C5%90s%C3%B6k_Hajnala%20Alfa43.jpg,https://www.osokhajnala.hu/alfa-k2/,https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001213-8b1098b10b/%C5%90s%C3%B6k_Hajnala%20Alfa43.jpg,alfa,Fenyveshágói Remete,Fehér,3,Zsoldos,Ork (Férfi),Mágus,Alfa 063\197,Lázár Aurél,Normál,4,19,Ha föld képességet használ: +2 Életerőt gyógyít.,,
https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001212-1503e15040/200/s%C3%B6k_Hajnala%20Alfa45-9.jpg,https://www.osokhajnala.hu/alfa-k2/,https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001212-1503e15040/s%C3%B6k_Hajnala%20Alfa45-9.jpg,alfa,Bizáncváradi Hontalan Tanonc,Zöld,3,Zsoldos,Ember (Férfi),Mágus,Alfa 065\197,Kovács Péter,Lélek,4,17,Minden elektromos sebzésű szövetségesnek: +1 sebzés,,
https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001075-3611c3611f/200/Kerek%C3%ADtettK2_202128.png?ph=b3207244ba,https://www.osokhajnala.hu/alfa-k2/,https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001075-3611c3611f/Kerek%C3%ADtettK2_202128.png?ph=b3207244ba,alfa,Lombvidéki Falu Sámán,Kék,3,Zsoldos,Kobold (Férfi),Mágus,Alfa 064\197 K2,Lázár Aurél,Föld,4,16,Nincs szüksége Fegyverzetre Föld vagy Lélek képesség használatához.,,
https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001078-ddc1eddc21/200/Kerek%C3%ADtettK2_202129.png?ph=b3207244ba,https://www.osokhajnala.hu/alfa-k2/,https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001078-ddc1eddc21/Kerek%C3%ADtettK2_202129.png?ph=b3207244ba,alfa,Lombvidéki Mágnesbűvölő,Zöld,4,Zsoldos,Ember (Férfi),Mágus,Alfa 068\197 K2,Kovács Péter,Elektromos,4,20,Elektromos képesség használatakor az ellenséges célponttal szomszédos Karakterek sérülnek: 2 Képesség Sebzés,,
https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001207-9050b9050e/200/%C5%90s%C3%B6k_Hajnala%20Alfa46.jpg,https://www.osokhajnala.hu/alfa-k2/,https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001207-9050b9050e/%C5%90s%C3%B6k_Hajnala%20Alfa46.jpg,alfa,Vöröskövi Tűzmágus,Kék,4,Zsoldos,Kobold (Férfi),Mágus,Alfa 067\197,Lázár Aurél,Tűz,4,18,Minden a karakter által használt tűz képesség: -1 Képesség Szint.,,
https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001216-12bfd12bff/200/%C5%90s%C3%B6k_Hajnala%20Alfa48.jpg,https://www.osokhajnala.hu/alfa-k2/,https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001216-12bfd12bff/%C5%90s%C3%B6k_Hajnala%20Alfa48.jpg,alfa,Fagyos-Vidéki Gyógyító,Zöld,4,Zsoldos,Tünde (Nő),Mágus,Alfa 069\197,Lázár Aurél,Jég,5,20,Jég Képesség használata után gyógyít egy szövetségest: +4 Páncél.,,
https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001218-12dd112dd3/200/%C5%90s%C3%B6k_Hajnala%20Alfa49.jpg,https://www.osokhajnala.hu/alfa-k2/,https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001218-12dd112dd3/%C5%90s%C3%B6k_Hajnala%20Alfa49.jpg,alfa,Óvárosi Szektatag,Zöld,4,Zsoldos,Törp (Férfi),Mágus,Alfa 070\197,Katona Rózsa,Lélek,5,23,Lélek Képesség: Célpont a következő körben nem támadhat.,,
https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001217-8efd18efd3/200/s%C3%B6k_Hajnala%20Alfa50-5.jpg,https://www.osokhajnala.hu/alfa-k2/,https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001217-8efd18efd3/s%C3%B6k_Hajnala%20Alfa50-5.jpg,alfa,Varázstudó Rabszolga,Zöld,5,Zsoldos,Tünde (Férfi),Mágus,Alfa 071\197,Lázár Aurél,Tűz,6,23,Ha tűz képességet használ: Minden ellenfél elszenved 1 sebzést.,,
https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001220-14f4f14f51/200/%C5%90s%C3%B6k_Hajnala%20Alfa51.jpg,https://www.osokhajnala.hu/alfa-k2/,https://d6scj24zvfbbo.cloudfront.net/4e4b662f83962d82c687298a24d15b93/200001220-14f4f14f51/%C5%90s%C3%B6k_Hajnala%20Alfa51.jpg,alfa,Óvárosi Jéghajlító,Kék,6,Zsoldos,Tünde (Nő),Mágus,Alfa 072\197,Lázár Aurél,Jég,7,32,Jég képesség használatához nincs szüksége fegyverzetre.,,
